chunk_idx,sample_idx,min_value,max_value
0,0,-6911.539219775795,6360.41254544512
0,1,-6911.539219775795,6360.41254544512
0,2,-6911.539219775795,6360.41254544512
0,3,-6911.539219775795,6360.41254544512
0,4,-6911.539219775795,6360.41254544512
1,0,-4657.818247750014,4857.751560316488
1,1,-4657.818247750014,4857.751560316488
1,2,-4657.818247750014,4857.751560316488
1,3,-4657.818247750014,4857.751560316488
1,4,-4657.818247750014,4857.751560316488
2,0,-4870.40523593285,6343.437034145396
2,1,-4870.40523593285,6343.437034145396
2,2,-4870.40523593285,6343.437034145396
2,3,-4870.40523593285,6343.437034145396
2,4,-4870.40523593285,6343.437034145396
3,0,-3356.128950987101,4909.8914362664045
3,1,-3356.128950987101,4909.8914362664045
3,2,-3356.128950987101,4909.8914362664045
3,3,-3356.128950987101,4909.8914362664045
3,4,-3356.128950987101,4909.8914362664045
4,0,-4087.765475984672,5416.666526608004
4,1,-4087.765475984672,5416.666526608004
4,2,-4087.765475984672,5416.666526608004
4,3,-4087.765475984672,5416.666526608004
4,4,-4087.765475984672,5416.666526608004
5,0,-2636.9548214106285,3695.767089020751
5,1,-2636.9548214106285,3695.767089020751
5,2,-2636.9548214106285,3695.767089020751
5,3,-2636.9548214106285,3695.767089020751
5,4,-2636.9548214106285,3695.767089020751
6,0,-6017.7465855609535,8610.170382018527
6,1,-6017.7465855609535,8610.170382018527
6,2,-6017.7465855609535,8610.170382018527
6,3,-6017.7465855609535,8610.170382018527
6,4,-6017.7465855609535,8610.170382018527
7,0,-3168.779323688128,4574.556314555482
7,1,-3168.779323688128,4574.556314555482
7,2,-3168.779323688128,4574.556314555482
7,3,-3168.779323688128,4574.556314555482
7,4,-3168.779323688128,4574.556314555482
8,0,-4799.254252382695,6929.020005572683
8,1,-4799.254252382695,6929.020005572683
8,2,-4799.254252382695,6929.020005572683
8,3,-4799.254252382695,6929.020005572683
8,4,-4799.254252382695,6929.020005572683
9,0,-4025.5297732757,7945.693036855135
9,1,-4025.5297732757,7945.693036855135
9,2,-4025.5297732757,7945.693036855135
9,3,-4025.5297732757,7945.693036855135
9,4,-4025.5297732757,7945.693036855135
10,0,-3038.411967955292,4232.491167250755
10,1,-3038.411967955292,4232.491167250755
10,2,-3038.411967955292,4232.491167250755
10,3,-3038.411967955292,4232.491167250755
10,4,-3038.411967955292,4232.491167250755
11,0,-5989.297482477129,7354.184501589559
11,1,-5989.297482477129,7354.184501589559
11,2,-5989.297482477129,7354.184501589559
11,3,-5989.297482477129,7354.184501589559
11,4,-5989.297482477129,7354.184501589559
12,0,-3313.625333999351,3956.495542643632
12,1,-3313.625333999351,3956.495542643632
12,2,-3313.625333999351,3956.495542643632
12,3,-3313.625333999351,3956.495542643632
12,4,-3313.625333999351,3956.495542643632
13,0,-1916.8220947233588,3413.4373264369096
13,1,-1916.8220947233588,3413.4373264369096
13,2,-1916.8220947233588,3413.4373264369096
13,3,-1916.8220947233588,3413.4373264369096
13,4,-1916.8220947233588,3413.4373264369096
14,0,-3321.0118700149433,4770.445034596816
14,1,-3321.0118700149433,4770.445034596816
14,2,-3321.0118700149433,4770.445034596816
14,3,-3321.0118700149433,4770.445034596816
14,4,-3321.0118700149433,4770.445034596816
15,0,-2878.8158975101846,4964.4144336944655
15,1,-2878.8158975101846,4964.4144336944655
15,2,-2878.8158975101846,4964.4144336944655
15,3,-2878.8158975101846,4964.4144336944655
15,4,-2878.8158975101846,4964.4144336944655
16,0,-2601.426870008153,4373.80750689484
16,1,-2601.426870008153,4373.80750689484
16,2,-2601.426870008153,4373.80750689484
16,3,-2601.426870008153,4373.80750689484
16,4,-2601.426870008153,4373.80750689484
17,0,-2690.6156496702815,4820.31668475006
17,1,-2690.6156496702815,4820.31668475006
17,2,-2690.6156496702815,4820.31668475006
17,3,-2690.6156496702815,4820.31668475006
17,4,-2690.6156496702815,4820.31668475006
18,0,-2489.7140105872486,4519.016136744841
18,1,-2489.7140105872486,4519.016136744841
18,2,-2489.7140105872486,4519.016136744841
18,3,-2489.7140105872486,4519.016136744841
18,4,-2489.7140105872486,4519.016136744841
19,0,-2965.9518159192235,4371.040574082063
19,1,-2965.9518159192235,4371.040574082063
19,2,-2965.9518159192235,4371.040574082063
19,3,-2965.9518159192235,4371.040574082063
19,4,-2965.9518159192235,4371.040574082063
20,0,-2340.6829207465207,3851.593189230492
20,1,-2340.6829207465207,3851.593189230492
20,2,-2340.6829207465207,3851.593189230492
20,3,-2340.6829207465207,3851.593189230492
20,4,-2340.6829207465207,3851.593189230492
21,0,-3566.793436998364,5400.791090425248
21,1,-3566.793436998364,5400.791090425248
21,2,-3566.793436998364,5400.791090425248
21,3,-3566.793436998364,5400.791090425248
21,4,-3566.793436998364,5400.791090425248
22,0,-2713.5986307466915,4630.798376645341
22,1,-2713.5986307466915,4630.798376645341
22,2,-2713.5986307466915,4630.798376645341
22,3,-2713.5986307466915,4630.798376645341
22,4,-2713.5986307466915,4630.798376645341
23,0,-2877.2485886145705,4152.452307317841
23,1,-2877.2485886145705,4152.452307317841
23,2,-2877.2485886145705,4152.452307317841
23,3,-2877.2485886145705,4152.452307317841
23,4,-2877.2485886145705,4152.452307317841
24,0,-4970.822660322307,6747.002890221158
24,1,-4970.822660322307,6747.002890221158
24,2,-4970.822660322307,6747.002890221158
24,3,-4970.822660322307,6747.002890221158
24,4,-4970.822660322307,6747.002890221158
25,0,-3417.282378922916,5162.835625808992
25,1,-3417.282378922916,5162.835625808992
25,2,-3417.282378922916,5162.835625808992
25,3,-3417.282378922916,5162.835625808992
25,4,-3417.282378922916,5162.835625808992
26,0,-3390.685690254409,4715.416825248731
26,1,-3390.685690254409,4715.416825248731
26,2,-3390.685690254409,4715.416825248731
26,3,-3390.685690254409,4715.416825248731
26,4,-3390.685690254409,4715.416825248731
27,0,-2886.7761843077524,4903.515911393695
27,1,-2886.7761843077524,4903.515911393695
27,2,-2886.7761843077524,4903.515911393695
27,3,-2886.7761843077524,4903.515911393695
27,4,-2886.7761843077524,4903.515911393695
28,0,-2744.0737413698894,4337.546743506328
28,1,-2744.0737413698894,4337.546743506328
28,2,-2744.0737413698894,4337.546743506328
28,3,-2744.0737413698894,4337.546743506328
28,4,-2744.0737413698894,4337.546743506328
29,0,-3194.4374800474525,4656.372019772419
29,1,-3194.4374800474525,4656.372019772419
29,2,-3194.4374800474525,4656.372019772419
29,3,-3194.4374800474525,4656.372019772419
29,4,-3194.4374800474525,4656.372019772419
30,0,-3139.5967136391,4549.781216604116
30,1,-3139.5967136391,4549.781216604116
30,2,-3139.5967136391,4549.781216604116
30,3,-3139.5967136391,4549.781216604116
30,4,-3139.5967136391,4549.781216604116
31,0,-3064.279768888889,4640.390459337619
31,1,-3064.279768888889,4640.390459337619
31,2,-3064.279768888889,4640.390459337619
31,3,-3064.279768888889,4640.390459337619
31,4,-3064.279768888889,4640.390459337619
32,0,-3275.5428947617393,5281.956258184502
32,1,-3275.5428947617393,5281.956258184502
32,2,-3275.5428947617393,5281.956258184502
32,3,-3275.5428947617393,5281.956258184502
32,4,-3275.5428947617393,5281.956258184502
33,0,-3035.0320189080862,4248.811549220283
33,1,-3035.0320189080862,4248.811549220283
33,2,-3035.0320189080862,4248.811549220283
33,3,-3035.0320189080862,4248.811549220283
33,4,-3035.0320189080862,4248.811549220283
34,0,-8974.841228535772,4918.120738391965
34,1,-8974.841228535772,4918.120738391965
34,2,-8974.841228535772,4918.120738391965
34,3,-8974.841228535772,4918.120738391965
34,4,-8974.841228535772,4918.120738391965
35,0,-2359.453616842396,4408.577147363903
35,1,-2359.453616842396,4408.577147363903
35,2,-2359.453616842396,4408.577147363903
35,3,-2359.453616842396,4408.577147363903
35,4,-2359.453616842396,4408.577147363903
36,0,-2172.0078583947948,3909.890903955388
36,1,-2172.0078583947948,3909.890903955388
36,2,-2172.0078583947948,3909.890903955388
36,3,-2172.0078583947948,3909.890903955388
36,4,-2172.0078583947948,3909.890903955388
37,0,-2687.921747278722,4773.863952955931
37,1,-2687.921747278722,4773.863952955931
37,2,-2687.921747278722,4773.863952955931
37,3,-2687.921747278722,4773.863952955931
37,4,-2687.921747278722,4773.863952955931
38,0,-2806.4762983250703,4188.8077623674735
38,1,-2806.4762983250703,4188.8077623674735
38,2,-2806.4762983250703,4188.8077623674735
38,3,-2806.4762983250703,4188.8077623674735
38,4,-2806.4762983250703,4188.8077623674735
39,0,-2390.871059237361,4044.2920571546215
39,1,-2390.871059237361,4044.2920571546215
39,2,-2390.871059237361,4044.2920571546215
