chunk_idx,sample_idx,min_value,max_value
0,0,-4799.254252382695,6929.020005572683
0,1,-4799.254252382695,6929.020005572683
0,2,-4799.254252382695,6929.020005572683
0,3,-4799.254252382695,6929.020005572683
0,4,-4799.254252382695,6929.020005572683
1,0,-3566.793436998364,5400.791090425248
1,1,-3566.793436998364,5400.791090425248
1,2,-3566.793436998364,5400.791090425248
1,3,-3566.793436998364,5400.791090425248
1,4,-3566.793436998364,5400.791090425248
2,0,-3275.5428947617393,5281.956258184502
2,1,-3275.5428947617393,5281.956258184502
2,2,-3275.5428947617393,5281.956258184502
2,3,-3275.5428947617393,5281.956258184502
2,4,-3275.5428947617393,5281.956258184502
3,0,-3193.455200385112,5319.712746095289
3,1,-3193.455200385112,5319.712746095289
3,2,-3193.455200385112,5319.712746095289
3,3,-3193.455200385112,5319.712746095289
3,4,-3193.455200385112,5319.712746095289
4,0,-3350.661204941709,5390.061372979628
4,1,-3350.661204941709,5390.061372979628
4,2,-3350.661204941709,5390.061372979628
4,3,-3350.661204941709,5390.061372979628
4,4,-3350.661204941709,5390.061372979628
5,0,-3198.227807134614,6371.953935653642
5,1,-3198.227807134614,6371.953935653642
5,2,-3198.227807134614,6371.953935653642
5,3,-3198.227807134614,6371.953935653642
5,4,-3198.227807134614,6371.953935653642
6,0,-4934.738918673867,5290.535003637832
6,1,-4934.738918673867,5290.535003637832
6,2,-4934.738918673867,5290.535003637832
6,3,-4934.738918673867,5290.535003637832
6,4,-4934.738918673867,5290.535003637832
7,0,-4319.017169678382,5432.992288457384
7,1,-4319.017169678382,5432.992288457384
7,2,-4319.017169678382,5432.992288457384
7,3,-4319.017169678382,5432.992288457384
7,4,-4319.017169678382,5432.992288457384
8,0,-3327.4388112971706,5570.930624671929
8,1,-3327.4388112971706,5570.930624671929
8,2,-3327.4388112971706,5570.930624671929
8,3,-3327.4388112971706,5570.930624671929
8,4,-3327.4388112971706,5570.930624671929
9,0,-3471.678070958501,5630.332415345512
9,1,-3471.678070958501,5630.332415345512
9,2,-3471.678070958501,5630.332415345512
9,3,-3471.678070958501,5630.332415345512
9,4,-3471.678070958501,5630.332415345512
10,0,-3946.8415324777225,6215.836401245372
10,1,-3946.8415324777225,6215.836401245372
10,2,-3946.8415324777225,6215.836401245372
10,3,-3946.8415324777225,6215.836401245372
10,4,-3946.8415324777225,6215.836401245372
11,0,-4045.4183010410616,6382.200498448548
11,1,-4045.4183010410616,6382.200498448548
11,2,-4045.4183010410616,6382.200498448548
11,3,-4045.4183010410616,6382.200498448548
11,4,-4045.4183010410616,6382.200498448548
12,0,-3539.077014674,6103.836234219048
12,1,-3539.077014674,6103.836234219048
12,2,-3539.077014674,6103.836234219048
12,3,-3539.077014674,6103.836234219048
12,4,-3539.077014674,6103.836234219048
13,0,-3837.536891308685,6378.794535872659
13,1,-3837.536891308685,6378.794535872659
13,2,-3837.536891308685,6378.794535872659
13,3,-3837.536891308685,6378.794535872659
13,4,-3837.536891308685,6378.794535872659
14,0,-3887.4888704919354,7011.8355901566965
14,1,-3887.4888704919354,7011.8355901566965
14,2,-3887.4888704919354,7011.8355901566965
14,3,-3887.4888704919354,7011.8355901566965
14,4,-3887.4888704919354,7011.8355901566965
15,0,-4347.84888858346,6808.247376651091
